 Charles Brandt,1
 Greta Thunberg,2
 Yuval Noah Harari,7
 Bryan Stevenson,2
 Trevor Noah,4
 Bessel van der Kolk,1
 Matthew Walker,1
 Malcolm Gladwell,8
 Daniel Kahneman,2
 David Grann,4
 Sy Montgomery,5
 Susan Orlean,5
 Michael Lewis,17
 David Sedaris,12
 Phil Knight,1
 Andrew Yang,1
 Michael Pollan,8
 Robin DiAngelo,2
 S.C. Gwynne,1
 Angela Duckworth,1
 Atul Gawande,4
 J.D. Vance,1
 Jedidiah Jenkins,2
 Robin Wall Kimmerer,1
 Michelle Alexander,1
 John Carreyrou,1
 Adam Higginbotham,2
 Timothy Snyder,7
 Patrick Radden Keefe,3
 Zora Neale Hurston,4
 Anand Giridharadas,2
 Mary Pipher,1
 Earl Swift,1
 John M. Barry,1
 Stephanie Land,1
 Samantha Irby,0
 Sonia Purnell,1
 Deborah Feldman,1
 Doris Kearns Goodwin,8
 Ben Macintyre,10
 David McCullough,11
 Ijeoma Oluo,1
 Richard Rothstein,2
 Ibram X. Kendi,9
  Beverly Daniel Tatum,0
 Jennifer Harvey,1
 Carol Anderson,1
 Debby Irving,0
 Brittney Cooper,1
 Resmaa Menakem,1
 Jemar Tisby,0
 Reni Eddo-Lodge,1
 Isabel Wilkerson,2
 Michelle McNamara,1
 Ron Chernow,4
 Sarah M. Broom,0
 Zadie Smith,7
 John Lewis,12
 Kamala Harris,2
 Chanel Miller,2
 Bob Woodward,14
 Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,1
 Jane Sherron De Hart,1
 Dan Rather and Elliot Kirschner,1
 Pete Souza,4
 Jon Meacham,10
 Jeffrey Rosen,2
 Stacey Abrams,5
 Joe Biden,2
 Cazzie David,1
 Barack Obama,9
 Edmund Morris,6
 Jenny Odell,2
 Charles Duhigg,3
 Bill Bryson,12
 Jessica Bruder,1
 Mariame Kaba,1
 bell hooks,2
 Mikki Kendall,1
 Michelle Obama,4
 Robert Kolker,2
 Edith Eva Eger,1
 Jonathan Karl,3
 Cathy Park Hong,1
 Lauren Hough,1
 Jason Schreier,2
 Chris Wallace with Mitch Weiss,3
 Rashid Khalidi,2
 Tim Madigan,2
 Kristin Kobes Du Mez,1
 Marty Makary,3
 Jessica B. Harris,1
 Brian Stelter,2
 Jeannette Walls,4
 Wes Moore,2
 Michele Harper,1
 Anthony Bourdain,9
 Rebecca Skloot,1
 Roxane van Iperen,1
 Richard Grant,2
 Garrett M. Graff,3
 Lucy Adlington,1
 Paul Hawken,2
 James Patterson with Casey Sherman and Dave Wedge,1
" John ""Chick"" Donohue and J.T. Molloy",0
 Eric Jager,1
 David Michaelis,1
 Colin Powell with Tony Koltz,1
 Sarah G. Forden,0
 Norm Macdonald,1
 Sara G. Forden,1
 Merlin Sheldrake,1
 Roxanne Dunbar-Ortiz,1
 Jerry Seinfeld,2
 Rutger Bregman,2
 Joan Didion,9
 Anna Malaika Tubbs,1
 Erik Larson,9
 Susan Cain,3
 J.R. Moehringer,1
 André Leon Talley,2
 Tiya Miles,1
 Tara Westover,1
 Heather McGhee,1
 Rachel DeLoache Williams,1
 Julian Sancton,1
 Suleika Jaouad,1
 Serhii Plokhy,1
 Alfred Lansing,1
 Anne Applebaum,6
 Bob Drury and Tom Clavin,2
 Natalie Haynes,1
 Bill Browder,2
 Olivia Campbell,1
 Jon Krakauer,7
 Catherine Belton,1
 Walter Isaacson,7
 Lily Erbert and Dov Forman,0
 James Patterson and Matt Eversmann with Chris Mooney,4
 Frederick Joseph,2
 Suzanne Simard,1
 Mary Roach,6
 Jarvis Jay Masters,1
 Flea,2
 Annie Ernaux,7
 Gabrielle Blair,1
 Tembi Locke,1
 Leslie Jordan,1
 Brian Kilmeade,6
 Mel Brooks,1
 Ann Patchett,11
 Adam Makos,3
 House January 6th Committee,1
 Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,1
 Select Committee to Investigate the Attack on the U.S. Capitol,1
 Clint Smith,2
 Anna Lembke,1
 January 6 Select Committee,1
 Aubrey Gordon,1
 Johann Hari,3
 Chuck Klosterman,9
 Fintan O'Toole,3
 Gabor Mate,2
 Stephanie Foo,1
 Frank Murphy,1
 Imani Perry,1
 John Green,8
 Matthew Desmond,2
 Dolly Alderton,2
 Michelle Zauner,1
 Viola Davis,1
 Jonathan Freedland,1
 Tina Turner with Deborah Davis and Dominik Wichmann,1
 Javier Zamora,1
 Ross Gay,1
 Wright Thompson,3
 Ed Yong,2
 Hua Hsu,1
 Rachel Aviv,1
 Daniel Stashower,3
 Noa Tishby,0
 Daniel James Brown,5
 Stacy Schiff,6
 Siddhartha Mukherjee,3
 Dave Grohl,1
 Paul McCartney,3
