,Date,Title,Author,Rank,Publisher,Weeks on List,On a Celebrity Reading List,Rating,Awards Count,Publication Season
0,2019-12-21,I HEARD YOU PAINT HOUSES,Charles Brandt,1,Steerforth,8,False,4.12,0.0,Summer
1,2019-12-21,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,2,Penguin,6,False,3.86,1.0,Fall
2,2019-12-21,SAPIENS,Yuval Noah Harari,3,Harper Perennial,84,False,4.35,2.0,Spring
3,2019-12-21,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau,184,False,4.63,8.0,Summer
4,2019-12-21,BORN A CRIME,Trevor Noah,5,Spiegel & Grau,45,False,4.49,6.0,Fall
5,2019-12-21,THE BODY KEEPS THE SCORE,Bessel van der Kolk,6,Penguin,61,False,4.38,0.0,Fall
6,2019-12-21,WHY WE SLEEP,Matthew Walker,7,Scribner,35,False,4.38,1.0,Fall
7,2019-12-21,OUTLIERS,Malcolm Gladwell,8,"Back Bay/Little, Brown",305,False,4.19,0.0,Fall
8,2019-12-21,"THINKING, FAST AND SLOW",Daniel Kahneman,9,"Farrar, Straus & Giroux",230,False,4.18,4.0,Fall
9,2019-12-21,KILLERS OF THE FLOWER MOON,David Grann,10,Vintage,71,False,4.14,8.0,Spring
10,2019-12-21,THE SOUL OF AN OCTOPUS,Sy Montgomery,11,Atria,1,False,3.93,3.0,Summer
11,2019-12-21,THE LIBRARY BOOK,Susan Orlean,12,Simon & Schuster,12,True,3.89,4.0,Fall
12,2019-12-21,THE FIFTH RISK,Michael Lewis,13,Norton,3,False,4.09,1.0,Fall
13,2019-12-21,CALYPSO,David Sedaris,14,Back Bay,29,False,4.11,2.0,Summer
14,2019-12-21,SHOE DOG,Phil Knight,15,Scribner,41,False,4.47,1.0,Fall
15,2019-12-28,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,1,Penguin,7,False,3.86,1.0,Fall
16,2019-12-28,SAPIENS,Yuval Noah Harari,2,Harper Perennial,85,False,4.35,2.0,Spring
17,2019-12-28,JUST MERCY,Bryan Stevenson,3,Spiegel & Grau,185,False,4.63,8.0,Summer
18,2019-12-28,I HEARD YOU PAINT HOUSES,Charles Brandt,4,Steerforth,9,False,4.12,0.0,Summer
19,2019-12-28,BORN A CRIME,Trevor Noah,5,Spiegel & Grau,46,False,4.49,6.0,Fall
20,2019-12-28,WHY WE SLEEP,Matthew Walker,6,Scribner,36,False,4.38,1.0,Fall
21,2019-12-28,THE BODY KEEPS THE SCORE,Bessel van der Kolk,7,Penguin,62,False,4.38,0.0,Fall
22,2019-12-28,THE FIFTH RISK,Michael Lewis,8,Norton,4,False,4.09,1.0,Fall
