Date,Title,Author,Rank,Publisher
2019-12-21,I HEARD YOU PAINT HOUSES,Charles Brandt,1,Steerforth
2019-12-21,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,2,Penguin
2019-12-21,SAPIENS,Yuval Noah Harari,3,Harper Perennial
2019-12-21,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau
2019-12-21,BORN A CRIME,Trevor Noah,5,Spiegel & Grau
2019-12-21,THE BODY KEEPS THE SCORE,Bessel van der Kolk,6,Penguin
2019-12-21,WHY WE SLEEP,Matthew Walker,7,Scribner
2019-12-21,OUTLIERS,Malcolm Gladwell,8,"Back Bay/Little, Brown"
2019-12-21,"THINKING, FAST AND SLOW",Daniel Kahneman,9,"Farrar, Straus & Giroux"
2019-12-21,KILLERS OF THE FLOWER MOON,David Grann,10,Vintage
2019-12-21,THE SOUL OF AN OCTOPUS,Sy Montgomery,11,Atria
2019-12-21,THE LIBRARY BOOK,Susan Orlean,12,Simon & Schuster
2019-12-21,THE FIFTH RISK,Michael Lewis,13,Norton
2019-12-21,CALYPSO,David Sedaris,14,Back Bay
2019-12-21,SHOE DOG,Phil Knight,15,Scribner
2019-12-28,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,1,Penguin
2019-12-28,SAPIENS,Yuval Noah Harari,2,Harper Perennial
2019-12-28,JUST MERCY,Bryan Stevenson,3,Spiegel & Grau
2019-12-28,I HEARD YOU PAINT HOUSES,Charles Brandt,4,Steerforth
2019-12-28,BORN A CRIME,Trevor Noah,5,Spiegel & Grau
2019-12-28,WHY WE SLEEP,Matthew Walker,6,Scribner
2019-12-28,THE BODY KEEPS THE SCORE,Bessel van der Kolk,7,Penguin
2019-12-28,THE FIFTH RISK,Michael Lewis,8,Norton
2019-12-28,KILLERS OF THE FLOWER MOON,David Grann,9,Vintage
2019-12-28,CALYPSO,David Sedaris,10,Back Bay
2019-12-28,OUTLIERS,Malcolm Gladwell,11,"Back Bay/Little, Brown"
2019-12-28,THE WAR ON NORMAL PEOPLE,Andrew Yang,12,Hachette
2019-12-28,THE SOUL OF AN OCTOPUS,Sy Montgomery,13,Atria
2019-12-28,THE LIBRARY BOOK,Susan Orlean,14,Simon & Schuster
2019-12-28,HOW TO CHANGE YOUR MIND,Michael Pollan,15,Penguin
2020-01-04,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau
2020-01-04,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin
2020-01-04,SAPIENS,Yuval Noah Harari,3,Harper Perennial
2020-01-04,WHY WE SLEEP,Matthew Walker,4,Scribner
2020-01-04,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,5,Penguin
2020-01-04,HOW TO CHANGE YOUR MIND,Michael Pollan,6,Penguin
2020-01-04,I HEARD YOU PAINT HOUSES,Charles Brandt,7,Steerforth
2020-01-04,BORN A CRIME,Trevor Noah,8,Spiegel & Grau
2020-01-04,WHITE FRAGILITY,Robin DiAngelo,9,Beacon
2020-01-04,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown"
2020-01-04,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2020-01-04,THE WAR ON NORMAL PEOPLE,Andrew Yang,12,Hachette
2020-01-04,THE FIFTH RISK,Michael Lewis,13,Norton
2020-01-04,THE LIBRARY BOOK,Susan Orlean,14,Simon & Schuster
2020-01-04,EMPIRE OF THE SUMMER MOON,S.C. Gwynne,15,Scribner
2020-01-11,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau
2020-01-11,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin
2020-01-11,WHY WE SLEEP,Matthew Walker,3,Scribner
2020-01-11,SAPIENS,Yuval Noah Harari,4,Harper Perennial
2020-01-11,BORN A CRIME,Trevor Noah,5,Spiegel & Grau
2020-01-11,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,6,Penguin
2020-01-11,WHITE FRAGILITY,Robin DiAngelo,7,Beacon
2020-01-11,OUTLIERS,Malcolm Gladwell,8,"Back Bay/Little, Brown"
2020-01-11,"THINKING, FAST AND SLOW",Daniel Kahneman,9,"Farrar, Straus & Giroux"
2020-01-11,GRIT,Angela Duckworth,10,Scribner
2020-01-11,BEING MORTAL,Atul Gawande,11,Picador
2020-01-11,HOW TO CHANGE YOUR MIND,Michael Pollan,12,Penguin
2020-01-11,SHOE DOG,Phil Knight,13,Scribner
2020-01-11,EMPIRE OF THE SUMMER MOON,S.C. Gwynne,14,Scribner
2020-01-11,HILLBILLY ELEGY,JD Vance,15,Harper
2020-01-18,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau
2020-01-18,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin
2020-01-18,SAPIENS,Yuval Noah Harari,3,Harper Perennial
2020-01-18,BORN A CRIME,Trevor Noah,4,Spiegel & Grau
2020-01-18,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
2020-01-18,WHY WE SLEEP,Matthew Walker,6,Scribner
2020-01-18,"THINKING, FAST AND SLOW",Daniel Kahneman,7,"Farrar, Straus & Giroux"
2020-01-18,OUTLIERS,Malcolm Gladwell,8,"Back Bay/Little, Brown"
2020-01-18,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,9,Convergent
2020-01-18,THE SOUL OF AN OCTOPUS,Sy Montgomery,10,Atria
2020-01-18,BEING MORTAL,Atul Gawande,11,Picador
2020-01-18,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,12,Penguin
2020-01-18,HILLBILLY ELEGY,JD Vance,13,Harper
2020-01-18,KILLERS OF THE FLOWER MOON,David Grann,14,Vintage
2020-01-18,GRIT,Angela Duckworth,15,Scribner
2020-01-25,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau
