Year on List,Title,Author,Rank,Publisher,Weeks on List,On a Celebrity Reading List,Current Context,Max Weeks on List,# of Author Bestsellers
2020,I HEARD YOU PAINT HOUSES,Charles Brandt,1,Steerforth,8,False,No,11,4
2020,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,2,Penguin,6,False,Yes,18,13
2020,SAPIENS,Yuval Noah Harari,3,Harper Perennial,84,False,Yes,208,128
2020,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau,184,False,Yes,309,126
2020,BORN A CRIME,Trevor Noah,5,Spiegel & Grau,45,False,Yes,209,165
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,6,Penguin,61,False,Yes,269,209
2020,WHY WE SLEEP,Matthew Walker,7,Scribner,35,False,No,53,19
2020,OUTLIERS,Malcolm Gladwell,8,"Back Bay/Little, Brown",305,False,No,367,198
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,9,"Farrar, Straus & Giroux",230,False,No,386,157
2020,KILLERS OF THE FLOWER MOON,David Grann,10,Vintage,71,False,Yes,146,78
2020,THE SOUL OF AN OCTOPUS,Sy Montgomery,11,Atria,1,False,No,4,4
2020,THE LIBRARY BOOK,Susan Orlean,12,Simon & Schuster,12,True,No,18,7
2020,THE FIFTH RISK,Michael Lewis,13,Norton,3,False,Yes,11,12
2020,CALYPSO,David Sedaris,14,Back Bay,29,False,No,31,38
2020,SHOE DOG,Phil Knight,15,Scribner,41,False,No,44,4
2020,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,1,Penguin,7,False,Yes,18,13
2020,SAPIENS,Yuval Noah Harari,2,Harper Perennial,85,False,Yes,208,128
2020,JUST MERCY,Bryan Stevenson,3,Spiegel & Grau,185,False,Yes,309,126
2020,I HEARD YOU PAINT HOUSES,Charles Brandt,4,Steerforth,9,False,No,11,4
2020,BORN A CRIME,Trevor Noah,5,Spiegel & Grau,46,False,Yes,209,165
2020,WHY WE SLEEP,Matthew Walker,6,Scribner,36,False,No,53,19
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,7,Penguin,62,False,Yes,269,209
2020,THE FIFTH RISK,Michael Lewis,8,Norton,4,False,Yes,11,12
2020,KILLERS OF THE FLOWER MOON,David Grann,9,Vintage,72,False,Yes,146,78
2020,CALYPSO,David Sedaris,10,Back Bay,30,False,No,31,38
2020,OUTLIERS,Malcolm Gladwell,11,"Back Bay/Little, Brown",306,False,No,367,198
2020,THE WAR ON NORMAL PEOPLE,Andrew Yang,12,Hachette,1,False,Yes,2,2
2020,THE SOUL OF AN OCTOPUS,Sy Montgomery,13,Atria,2,False,No,4,4
2020,THE LIBRARY BOOK,Susan Orlean,14,Simon & Schuster,13,True,No,18,7
2020,HOW TO CHANGE YOUR MIND,Michael Pollan,15,Penguin,17,False,No,24,17
2020,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,186,False,Yes,309,126
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,63,False,Yes,269,209
2020,SAPIENS,Yuval Noah Harari,3,Harper Perennial,86,False,Yes,208,128
2020,WHY WE SLEEP,Matthew Walker,4,Scribner,37,False,No,53,19
2020,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,5,Penguin,8,False,Yes,18,13
2020,HOW TO CHANGE YOUR MIND,Michael Pollan,6,Penguin,18,False,No,24,17
2020,I HEARD YOU PAINT HOUSES,Charles Brandt,7,Steerforth,10,False,No,11,4
2020,BORN A CRIME,Trevor Noah,8,Spiegel & Grau,47,False,Yes,209,165
2020,WHITE FRAGILITY,Robin DiAngelo,9,Beacon,74,False,Yes,156,83
2020,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown",307,False,No,367,198
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",231,False,No,386,157
2020,THE WAR ON NORMAL PEOPLE,Andrew Yang,12,Hachette,2,False,Yes,2,2
2020,THE FIFTH RISK,Michael Lewis,13,Norton,5,False,Yes,11,12
2020,THE LIBRARY BOOK,Susan Orlean,14,Simon & Schuster,14,True,No,18,7
2020,EMPIRE OF THE SUMMER MOON,S.C. Gwynne,15,Scribner,60,False,Yes,68,9
2020,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,187,False,Yes,309,126
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,64,False,Yes,269,209
2020,WHY WE SLEEP,Matthew Walker,3,Scribner,38,False,No,53,19
2020,SAPIENS,Yuval Noah Harari,4,Harper Perennial,87,False,Yes,208,128
2020,BORN A CRIME,Trevor Noah,5,Spiegel & Grau,48,False,Yes,209,165
2020,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,6,Penguin,9,False,Yes,18,13
2020,WHITE FRAGILITY,Robin DiAngelo,7,Beacon,75,False,Yes,156,83
2020,OUTLIERS,Malcolm Gladwell,8,"Back Bay/Little, Brown",308,False,No,367,198
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,9,"Farrar, Straus & Giroux",232,False,No,386,157
2020,GRIT,Angela Duckworth,10,Scribner,62,False,No,151,90
2020,BEING MORTAL,Atul Gawande,11,Picador,111,False,No,130,20
2020,HOW TO CHANGE YOUR MIND,Michael Pollan,12,Penguin,19,False,No,24,17
2020,SHOE DOG,Phil Knight,13,Scribner,42,False,No,44,4
2020,EMPIRE OF THE SUMMER MOON,S.C. Gwynne,14,Scribner,61,False,Yes,68,9
2020,HILLBILLY ELEGY,JD Vance,15,Harper,51,False,Yes,66,16
2020,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,188,False,Yes,309,126
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,65,False,Yes,269,209
2020,SAPIENS,Yuval Noah Harari,3,Harper Perennial,88,False,Yes,208,128
2020,BORN A CRIME,Trevor Noah,4,Spiegel & Grau,49,False,Yes,209,165
2020,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,76,False,Yes,156,83
2020,WHY WE SLEEP,Matthew Walker,6,Scribner,39,False,No,53,19
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,7,"Farrar, Straus & Giroux",233,False,No,386,157
2020,OUTLIERS,Malcolm Gladwell,8,"Back Bay/Little, Brown",309,False,No,367,198
2020,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,9,Convergent,1,False,No,7,7
2020,THE SOUL OF AN OCTOPUS,Sy Montgomery,10,Atria,3,False,No,4,4
2020,BEING MORTAL,Atul Gawande,11,Picador,112,False,No,130,20
2020,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,12,Penguin,10,False,Yes,18,13
2020,HILLBILLY ELEGY,JD Vance,13,Harper,52,False,Yes,66,16
2020,KILLERS OF THE FLOWER MOON,David Grann,14,Vintage,73,False,Yes,146,78
2020,GRIT,Angela Duckworth,15,Scribner,63,False,No,151,90
2020,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,189,False,Yes,309,126
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,66,False,Yes,269,209
2020,SAPIENS,Yuval Noah Harari,3,Harper Perennial,89,False,Yes,208,128
2020,BORN A CRIME,Trevor Noah,4,Spiegel & Grau,50,False,Yes,209,165
2020,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,77,False,Yes,156,83
2020,OUTLIERS,Malcolm Gladwell,6,"Back Bay/Little, Brown",310,False,No,367,198
2020,WHY WE SLEEP,Matthew Walker,7,Scribner,40,False,No,53,19
2020,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,8,Convergent,2,False,No,7,7
2020,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,9,Penguin,11,False,Yes,18,13
2020,BEING MORTAL,Atul Gawande,10,Picador,113,False,No,130,20
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",234,False,No,386,157
2020,KILLERS OF THE FLOWER MOON,David Grann,12,Vintage,74,False,Yes,146,78
2020,GRIT,Angela Duckworth,13,Scribner,64,False,No,151,90
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,14,Milkweed Editions,1,False,Yes,192,192
2020,THE NEW JIM CROW,Michelle Alexander,15,New Press,187,False,Yes,223,37
2020,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,190,False,Yes,309,126
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,67,False,Yes,269,209
2020,BAD BLOOD,John Carreyrou,3,Vintage,1,False,Yes,6,6
2020,SAPIENS,Yuval Noah Harari,4,Harper Perennial,90,False,Yes,208,128
2020,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,78,False,Yes,156,83
2020,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,51,False,Yes,209,165
2020,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,7,Convergent,3,False,No,7,7
2020,WHY WE SLEEP,Matthew Walker,8,Scribner,41,False,No,53,19
2020,GRIT,Angela Duckworth,9,Scribner,65,False,No,151,90
2020,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown",311,False,No,367,198
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",235,False,No,386,157
2020,BEING MORTAL,Atul Gawande,12,Picador,114,False,No,130,20
2020,KILLERS OF THE FLOWER MOON,David Grann,13,Vintage,75,False,Yes,146,78
2020,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,14,Penguin,12,False,Yes,18,13
2020,HILLBILLY ELEGY,JD Vance,15,Harper,53,False,Yes,66,16
2020,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,191,False,Yes,309,126
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin,68,False,Yes,269,209
2020,WHITE FRAGILITY,Robin DiAngelo,3,Beacon,79,False,Yes,156,83
2020,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,4,Simon & Schuster,1,False,Yes,7,7
2020,SAPIENS,Yuval Noah Harari,5,Harper Perennial,91,False,Yes,208,128
2020,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,6,Convergent,4,False,No,7,7
2020,BORN A CRIME,Trevor Noah,7,Spiegel & Grau,52,False,Yes,209,165
2020,WHY WE SLEEP,Matthew Walker,8,Scribner,42,False,No,53,19
2020,OUTLIERS,Malcolm Gladwell,9,"Back Bay/Little, Brown",312,False,No,367,198
2020,GRIT,Angela Duckworth,10,Scribner,66,False,No,151,90
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",236,False,No,386,157
2020,EMPIRE OF THE SUMMER MOON,S.C. Gwynne,12,Scribner,62,False,Yes,68,9
