Title,Author,Publisher,Year on List,Rank on List,On a Celebrity Reading List,Current Context
I Heard You Paint Houses,Charles Brandt,Steerforth,2020,1,FALSE,No
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,2,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,3,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,4,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,5,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,6,FALSE,Yes
Why We Sleep,Matthew Walker,Scribner,2020,7,FALSE,No
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,8,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,9,FALSE,No
Killers of the Flower Moon,David Grann,Vintage,2020,10,FALSE,Yes
The Soul of an Octopus,Sy Montgomery,Atria,2020,11,FALSE,No
The Library Book,Susan Orlean,Simon & Schuster,2020,12,TRUE,No
The Fifth Risk,Michael Lewis,Norton,2020,13,FALSE,Yes
Calypso,David Sedaris,Back Bay,2020,14,FALSE,No
Shoe Dog,Phil Knight,Scribner,2020,15,FALSE,No
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,1,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,2,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,3,FALSE,Yes
I Heard You Paint Houses,Charles Brandt,Steerforth,2020,4,FALSE,No
Born A Crime,Trevor Noah,Spiegel & Grau,2020,5,FALSE,Yes
Why We Sleep,Matthew Walker,Scribner,2020,6,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,7,FALSE,Yes
The Fifth Risk,Michael Lewis,Norton,2020,8,FALSE,Yes
Killers of the Flower Moon,David Grann,Vintage,2020,9,FALSE,Yes
Calypso,David Sedaris,Back Bay,2020,10,FALSE,No
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,11,FALSE,No
The War on Normal People,Andrew Yang,Hachette,2020,12,FALSE,Yes
The Soul of an Octopus,Sy Montgomery,Atria,2020,13,FALSE,No
The Library Book,Susan Orlean,Simon & Schuster,2020,14,TRUE,No
