Title,Author,Publisher,Year on List,Rank on List
I Heard You Paint Houses,Charles Brandt,Steerforth,2020,1
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,2
Sapiens,Yuval Noah Harari,Harper Perennial,2020,3
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,4
Born A Crime,Trevor Noah,Spiegel & Grau,2020,5
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,6
Why We Sleep,Matthew Walker,Scribner,2020,7
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,8
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2020,9
Killers of the Flower Moon,David Grann,Vintage,2020,10
The Soul of an Octopus,Sy Montgomery,Atria,2020,11
The Library Book,Susan Orlean,Simon & Schuster,2020,12
The Fifth Risk,Michael Lewis,Norton,2020,13 
Calypso,David Sedaris,Back Bay,2020,14
Shoe Dog,Phil Knight,Scribner,2020,15
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,1
Sapiens,Yuval Noah Harari,Harper Perennial,2020,2
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,3
I Heard You Paint Houses,Charles Brandt,Steerforth,2020,4
Born A Crime,Trevor Noah,Spiegel & Grau,2020,5
Why We Sleep,Matthew Walker,Scribner,2020,6
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,7
The Fifth Risk,Michael Lewis,Norton,2020,8
Killers of the Flower Moon,David Grann,Vintage,2020,9
Calypso,David Sedaris,Back Bay,2020,10
Outliers,Malcolm Gladwell,"Back Bay/Little Brown",2020,11
The War on Normal People,Andrew Yang,Hachette,2020,12
The Soul of an Octopus,Sy Montgomery,Atria,2020,13
The Library Book,Susan Orlean,Simon & Schuster,2020,14
How To Change Your Mind,Michael Pollan,Penguin,2020,15
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,2
Sapiens,Yuval Noah Harari,Harper Perennial,2020,3
Why We Sleep,Matthew Walker,Scribner,2020,4
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,5
