Title,Author,Publication Date,Publication Season,Goodreads URL,Awards Count,Rating
I HEARD YOU PAINT HOUSES,Charles Brandt,2016-06-29,Summer,https://www.goodreads.com/book/show/934378.I_Heard_You_Paint_Houses?from_search=true&from_srp=true&qid=yykyyzWKgO&rank=1,0.0,4.12
NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,2019-11-12,Fall,https://www.goodreads.com/book/show/51764686-no-one-is-too-small-to-make-a-difference?from_search=true&from_srp=true&qid=7tIt5diyCg&rank=1,1.0,3.86
SAPIENS,Yuval Noah Harari,2015-02-10,Spring,https://www.goodreads.com/book/show/23692271-sapiens?from_search=true&from_srp=true&qid=Dr2EmP1JNn&rank=1,2.0,4.35
JUST MERCY,Bryan Stevenson,2015-08-18,Summer,https://www.goodreads.com/book/show/20342617-just-mercy?from_search=true&from_srp=true&qid=zBVmAcAviG&rank=1,8.0,4.63
BORN A CRIME,Trevor Noah,2016-11-15,Fall,https://www.goodreads.com/book/show/36650991-born-a-crime,6.0,4.49
THE BODY KEEPS THE SCORE,Bessel van der Kolk,2015-09-08,Fall,https://www.goodreads.com/book/show/24611788-the-body-keeps-the-score,0.0,4.38
WHY WE SLEEP,Matthew Walker,2017-10-03,Fall,https://www.goodreads.com/book/show/36709369-why-we-sleep,1.0,4.38
OUTLIERS,Malcolm Gladwell,2008-11-18,Fall,https://www.goodreads.com/book/show/7967279-outliers,0.0,4.19
"THINKING, FAST AND SLOW",Daniel Kahneman,2011-10-25,Fall,https://www.goodreads.com/book/show/13539043-thinking-fast-and-slow,4.0,4.18
KILLERS OF THE FLOWER MOON,David Grann,2018-04-03,Spring,https://www.goodreads.com/book/show/193388249-killers-of-the-flower-moon?from_search=true&from_srp=true&qid=H1t3xFNgid&rank=1,8.0,4.14
THE SOUL OF AN OCTOPUS,Sy Montgomery,2015-05-12,Summer,https://www.goodreads.com/book/show/22609485-the-soul-of-an-octopus?from_search=true&from_srp=true&qid=czZzpTPrqm&rank=1,3.0,3.93
THE LIBRARY BOOK,Susan Orlean,2019-10-01,Fall,https://www.goodreads.com/book/show/42453769-the-library-book,4.0,3.89
THE FIFTH RISK,Michael Lewis,2018-10-02,Fall,https://www.goodreads.com/book/show/46266188-the-fifth-risk?from_search=true&from_srp=true&qid=9fyfcENT4N&rank=1,1.0,4.09
CALYPSO,David Sedaris,2018-05-29,Summer,https://www.goodreads.com/book/show/42283251-calypso,2.0,4.11
SHOE DOG,Phil Knight,2017-09-26,Fall,https://www.goodreads.com/book/show/30753724-shoe-dog,1.0,4.47
THE WAR ON NORMAL PEOPLE,Andrew Yang,2018-04-03,Spring,https://www.goodreads.com/book/show/41155063-the-war-on-normal-people,0.0,4.26
HOW TO CHANGE YOUR MIND,Michael Pollan,2019-05-14,Summer,https://www.goodreads.com/book/show/44774807-how-to-change-your-mind,1.0,4.27
WHITE FRAGILITY,Robin DiAngelo,2018-06-26,Summer,https://www.goodreads.com/book/show/36454970-white-fragility,0.0,4.17
EMPIRE OF THE SUMMER MOON,S.C. Gwynne,2010-05-25,Summer,https://www.goodreads.com/book/show/8303538-empire-of-the-summer-moon,3.0,4.24
GRIT,Angela Duckworth,2023-09-26,Fall,https://www.goodreads.com/book/show/29445754-grit,1.0,4.08
BEING MORTAL,Atul Gawande,2014-10-07,Fall,https://www.goodreads.com/book/show/25338969-being-mortal,3.0,4.49
HILLBILLY ELEGY,JD Vance,2018-05-01,Summer,https://www.goodreads.com/book/show/32075798-hillbilly-elegy,5.0,3.86
TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,2018,Fall,https://www.goodreads.com/book/show/56958969-to-shake-the-sleeping-self,0.0,3.94
BRAIDING SWEETGRASS,Robin Wall Kimmerer,2013-09-16,Fall,https://www.goodreads.com/book/show/20763843-braiding-sweetgrass,2.0,4.53
THE NEW JIM CROW,Michelle Alexander,2012,Spring,https://www.goodreads.com/book/show/25898577-the-new-jim-crow,0.0,4.52
BAD BLOOD,John Carreyrou,2020-01-28,Spring,https://www.goodreads.com/book/show/42584171-bad-blood,3.0,4.41
MIDNIGHT IN CHERNOBYL,Adam Higginbotham,2019-02-12,Spring,https://www.goodreads.com/book/show/52965734-midnight-in-chernobyl,5.0,4.37
ON TYRANNY,Timothy Snyder,2017-02-28,Spring,https://www.goodreads.com/book/show/33917107-on-tyranny?ref=nav_sb_ss_1_10,1.0,4.2
SAY NOTHING,Patrick Radden Keefe,2020-02-25,Spring,https://www.goodreads.com/book/show/40163119-say-nothing?ref=nav_sb_ss_1_11,7.0,4.47
BARRACOON,Zora Neale Hurston,2020-01-09,Spring,https://www.goodreads.com/book/show/2590136-barracoon?from_search=true&from_srp=true&qid=QuEI7nz0St&rank=1,3.0,4.04
WINNERS TAKE ALL,Anand Giridharadas,2019-10-01,Fall,https://www.goodreads.com/book/show/43181959-winners-take-all,0.0,4.13
WOMEN ROWING NORTH,Mary Pipher,2019-01-15,Spring,https://www.goodreads.com/book/show/44453052-women-rowing-north,0.0,3.68
CHESAPEAKE REQUIEM,Earl Swift,2018-08-07,Summer,https://www.goodreads.com/book/show/74687781-chesapeake-requiem,0.0,4.1
THE GREAT INFLUENZA,John M. Barry,2005-10-04,Fall,https://www.goodreads.com/book/show/29036.The_Great_Influenza?from_search=true&from_srp=true&qid=w1xN2MmRXy&rank=1,0.0,3.98
MAID,Stephanie Land,2019-01-22,Spring,https://www.goodreads.com/book/show/39218350-maid?from_search=true&from_srp=true&qid=PT1CEN0rFY&rank=4,1.0,3.85
"WOW, NO THANK YOU",Samantha Ir,2020-03-30,Spring,https://www.goodreads.com/book/show/49960031-wow-no-thank-you?ref=nav_sb_ss_1_16,3.0,3.82
A WOMAN OF NO IMPORTANCE,Sonia Purnell,2019-04-09,Spring,https://www.goodreads.com/book/show/51153322-a-woman-of-no-importance,4.0,4.15
UNORTHODOX,Deborah Feldman,2020-03-03,Spring,https://www.goodreads.com/book/show/13547241-unorthodox?ref=nav_sb_ss_1_10,1.0,3.99
LEADERSHIP,Doris Kearns Goodwin,2018-09-18,Fall,https://www.goodreads.com/book/show/43822080-leadership,2.0,4.4
THE SPY AND THE TRAITOR,Ben Macintyre,2018-09-18,Fall,https://www.goodreads.com/book/show/51770358-the-spy-and-the-traitor,2.0,4.51
THE PIONEERS,David McCullough,2020-05-05,Summer,https://www.goodreads.com/book/show/52754093-the-pioneers,2.0,3.81
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,2019-01-29,Spring,https://www.goodreads.com/book/show/38820046-21-lessons-for-the-21st-century?from_search=true&from_srp=true&qid=muQ6AsCuJH&rank=1,1.0,4.16
SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,2019-09-24,Fall,https://www.goodreads.com/book/show/41717572-so-you-want-to-talk-about-race,3.0,4.49
THE COLOR OF LAW,Richard Rothstein,2017-05-02,Summer,,1.0,4.44
STAMPED FROM THE BEGINNING,Ibram X Kendi,2024-06-04,Summer,https://www.goodreads.com/book/show/33785247-stamped-from-the-beginning,4.0,4.53
WHY ARE ALL THE BLACK KIDS SITTING TOGETHER IN THE CAFETERIA?,Beverly Daniel Tatum,2003-01-17,Spring,https://www.goodreads.com/book/show/16280.Why_Are_All_The_Black_Kids_Sitting_Together_in_the_Cafeteria_?ref=nav_sb_ss_1_61,0.0,4.34
RAISING WHITE KIDS,Jennifer Harvey,2018-01-16,Spring,https://www.goodreads.com/book/show/40716500-raising-white-kids,0.0,4.16
WHITE RAGE,Carol Anderson,2016-05-31,Summer,https://www.goodreads.com/book/show/31450858-white-rage,1.0,4.47
WAKING UP WHITE,Deb Irving,2014-01-09,Spring,https://www.goodreads.com/book/show/20589319-waking-up-white-and-finding-myself-in-the-story-of-race,1.0,4.03
ELOQUENT RAGE,Brittney Cooper,2018-02-20,Spring,https://www.goodreads.com/book/show/39863250-eloquent-rage,1.0,4.39
MY GRANDMOTHER'S HANDS,Resmaa Menakem,2017-08-21,Summer,https://www.goodreads.com/book/show/34146782-my-grandmother-s-hands?from_search=true&from_srp=true&qid=VKIYiqrDh4&rank=1,0.0,4.4
THE COLOR OF COMPROMISE,Jemar Tis,2025-01-07,Spring,https://www.goodreads.com/book/show/52609333-the-color-of-compromise?from_search=true&from_srp=true&qid=ID2lbBDnS1&rank=2,0.0,4.28
WHY I'M NO LONGER TALKING TO WHITE PEOPLE ABOUT RACE,Reni Eddo-Lodge,2020-11-12,Fall,https://www.goodreads.com/book/show/36494117-why-i-m-no-longer-talking-to-white-people-about-race,4.0,4.38
THE WARMTH OF OTHER SUNS,Isabel Wilkerson,2011-10-04,Fall,https://www.goodreads.com/book/show/9751673-the-warmth-of-other-suns,8.0,4.47
I'LL BE GONE IN THE DARK,Michelle McNamara,2019-02-26,Spring,https://www.goodreads.com/book/show/40943105-i-ll-be-gone-in-the-dark,4.0,4.12
ALEXANDER HAMILTON,Ron Chernow,2005-03-29,Spring,https://www.goodreads.com/book/show/16130.Alexander_Hamilton?ref=nav_sb_ss_1_18,2.0,4.22
THE YELLOW HOUSE,Sarah M Broom,2019-08-13,Summer,https://www.goodreads.com/book/show/54264590-the-yellow-house,4.0,3.9
